"","h","n","RWwD","AR","Plasso_NT_121_Predictors","Slasso_NT_121_Predictors","Plasso_ST_121_Predictors","Slasso_ST_121_Predictors","Plasso_NT_504_Predictors","Slasso_NT_504_Predictors","Plasso_ST_504_Predictors","Slasso_ST_504_Predictors"
"Full Sample",1,120,0.114130350795858,0.115631319530419,0.454392030979624,0.112843664922818,0.646772413270407,0.41772717617653,0.408103341942186,0.108952166439225,0.274706341985382,0.114750162915773
"Full Sample",1,240,0.114091330551692,0.117081235602169,0.334608829898387,0.113387684558326,0.515263256610038,0.534847698912028,0.574936677155494,0.0990861753902229,0.177037984810979,0.105452192887471
"Full Sample",1,360,0.113833642404574,0.114018956000715,0.303879224960998,0.115723636470183,0.722344196310293,0.645902910958643,0.576935320088733,0.100814374637683,0.153349616170761,0.106649784572271
"Full Sample",2,120,0.167626332869726,0.161562635325996,0.486336722251629,0.151346735427287,0.63797199022268,0.438265680736131,0.461373225419541,0.145415194549022,0.331763283188299,0.161641935113255
"Full Sample",2,240,0.167471024571164,0.161328801688298,0.394097474750928,0.135449129945835,0.516906494489989,0.530556133781475,0.618225436964366,0.127290020443371,0.228751035358212,0.140743567528007
"Full Sample",2,360,0.16714109102148,0.157591028786407,0.362043250015663,0.146316663034225,0.629105172198959,0.648929814212886,0.593177246984221,0.133189866367575,0.202098372818239,0.141010105839846
"Full Sample",3,120,0.217896770205532,0.21114004335624,0.513981064567657,0.199646726423894,0.684406116798416,0.458902611381236,0.513016126313943,0.201362806598156,0.422352735073383,0.211963926042021
"Full Sample",3,240,0.217487637150363,0.202196494547622,0.437440276903864,0.178244816113835,0.529100887501881,0.549309208185332,0.66509799320719,0.166313179140673,0.297327084194837,0.173846790000688
"Full Sample",3,360,0.217081981146654,0.199558107389959,0.417114784545351,0.175291888321294,0.629479387851519,0.627149456704031,0.62125487649229,0.165474451011379,0.261276786960105,0.173744323304068
"1990-1999",1,120,0.107041029207232,0.105260784092085,0.372527204227508,0.10943048838209,0.469978399158074,0.37011454814328,0.320701030097361,0.104865331084636,0.213048599079191,0.111189391424441
"1990-1999",1,240,0.107294853963839,0.111239882859058,0.171594210169045,0.108579156154865,0.533745277957884,0.614088078842654,0.449974947567938,0.0986711946026872,0.156882345902486,0.103906630056028
"1990-1999",1,360,0.107418868799258,0.111930869829174,0.178391369917326,0.119156151213391,0.526006266914414,0.487419049164204,0.52110621758383,0.103117411417799,0.144184222657212,0.100890947029157
"1990-1999",2,120,0.152717895224849,0.140513887649087,0.388051699246734,0.140278234846234,0.484715712841315,0.373552935099095,0.359841258006579,0.138631884126845,0.237835823835645,0.150650719301786
"1990-1999",2,240,0.152717895224849,0.150565019898028,0.223994960514676,0.124991189541781,0.547293212549956,0.583557662132976,0.467638571208442,0.124955286652318,0.225942716864545,0.139820867574604
"1990-1999",2,360,0.153964997681966,0.154519291469309,0.227280912329091,0.143958080892022,0.518051424998664,0.486546285086402,0.536677654471029,0.130857746018844,0.198449459995308,0.136335125195695
"1990-1999",3,120,0.188018080667594,0.177976295297376,0.405948453732486,0.180200181322789,0.51882120990543,0.387459307403542,0.380563242700385,0.17872564865412,0.272263770611148,0.189831663678029
"1990-1999",3,240,0.187559109874826,0.184732421981227,0.292103635466995,0.164374014057948,0.547638397798315,0.597489651522938,0.472246925742847,0.154752544689709,0.283872188114882,0.179609507514331
"1990-1999",3,360,0.190305980528512,0.187176278455754,0.287985566906181,0.168097313680139,0.520937321564328,0.486531718132595,0.558881960639012,0.161919484661819,0.245739102095014,0.16022283084396
"2000-2009",1,120,0.122745711636532,0.118097831025316,0.328229154184819,0.115691307598998,0.596841592315142,0.350378406225073,0.263365972144546,0.107011451597521,0.333748846131608,0.116683008729449
"2000-2009",1,240,0.123407510431154,0.114676766783169,0.29830162129061,0.11985210485683,0.538107776025353,0.515908949615084,0.35407370034309,0.0970512854938321,0.15836060998272,0.099765229739967
"2000-2009",1,360,0.122799026425591,0.110271431167381,0.257566657577691,0.124618641556709,0.900357713010543,0.819876305507413,0.404303880357038,0.0959097935188357,0.152719936501475,0.103296705316659
"2000-2009",2,120,0.192444367176634,0.179785341611442,0.379835713400402,0.155445595797479,0.654945186415231,0.389555569664922,0.322538197889997,0.141621631434668,0.373281115138554,0.171039206703184
"2000-2009",2,240,0.19352688919796,0.164808221385084,0.377847762389335,0.142683919291953,0.53882672308634,0.513000752261973,0.44593816565536,0.131609809030027,0.188627446817479,0.138060507902381
"2000-2009",2,360,0.192701668984701,0.160452152893505,0.320696553581355,0.159388592045914,0.642458675739847,0.816915879314202,0.402972549865118,0.140532555969367,0.199379430365868,0.138604022139758
"2000-2009",3,120,0.264356745479833,0.238321693706866,0.406550451039479,0.209749677559923,0.675253175067532,0.389875176892325,0.392469770613543,0.221733887273098,0.416398142458466,0.242859293910631
"2000-2009",3,240,0.265796244784423,0.223915567813409,0.355574487667518,0.206588730690083,0.544967582341218,0.500315172056271,0.540027960816216,0.185226832375269,0.207457096163103,0.164318184055551
"2000-2009",3,360,0.264836578581363,0.220271227655549,0.351206892902105,0.198993793154918,0.632429543568828,0.743603723323903,0.428932741169888,0.174324000915452,0.246866762886699,0.172997461865616
"2010-2019",1,120,0.112604311543811,0.123535343473857,0.662419734526543,0.113409198787365,0.873497248338005,0.532688574161236,0.640243023584651,0.114979716635518,0.277321580745349,0.11637808859343
"2010-2019",1,240,0.111571627260083,0.125327057164279,0.533930658235507,0.111731792663283,0.473936715846877,0.474546068278346,0.920761383555454,0.101536046074149,0.215870998547732,0.112684718866417
"2010-2019",1,360,0.111283031988873,0.119854567005591,0.475679647387977,0.103396116640449,0.740668609005923,0.630413378204314,0.805395862325331,0.103415918976415,0.163144689353596,0.115761701370997
"2010-2019",2,120,0.157716736207696,0.164388676717458,0.691122754107751,0.158316375638149,0.774255071411495,0.551688537444377,0.701740220362048,0.155992068085553,0.384172910590698,0.163235879334795
"2010-2019",2,240,0.156168289290682,0.168613163781781,0.580449701348774,0.138672281003773,0.46459954783367,0.495109986949475,0.941099574029296,0.125304965647767,0.271682942392612,0.144349327107035
"2010-2019",2,360,0.154756606397775,0.157801641996406,0.538152284136543,0.135603316164738,0.726805415858368,0.643327278238053,0.839881536616516,0.128179297114516,0.20846622809354,0.148091170184086
"2010-2019",3,120,0.20131548446917,0.217122141064479,0.729444288931006,0.208990320388968,0.859143965422286,0.59937334984784,0.766015365627902,0.203628883867251,0.578396292150534,0.203200820537403
"2010-2019",3,240,0.199107556791841,0.197941493848232,0.664642707577078,0.163771703593475,0.49469668236611,0.550122800976786,0.983019093062506,0.158960160357041,0.400651968306526,0.177612678432183
"2010-2019",3,360,0.196103384330088,0.191226816058574,0.612151893827767,0.158784558128825,0.7350712984214,0.651312928655594,0.875949927667971,0.160179867456866,0.291224495898601,0.18801267720263
